date,us_confirmed,us_recovered,us_death
2020-01-22,1,0,0
2020-01-23,1,0,0
2020-01-24,2,0,0
2020-01-25,2,0,0
2020-01-26,5,0,0
2020-01-27,5,0,0
2020-01-28,5,0,0
2020-01-29,5,0,0
2020-01-30,5,0,0
2020-01-31,7,0,0
2020-02-01,8,0,0
2020-02-02,8,0,0
2020-02-03,11,0,0
2020-02-04,11,0,0
2020-02-05,12,0,0
2020-02-06,12,0,0
2020-02-07,12,0,0
2020-02-08,12,0,0
2020-02-09,12,3,0
2020-02-10,12,3,0
2020-02-11,13,3,0
2020-02-12,13,3,0
2020-02-13,15,3,0
2020-02-14,15,3,0
2020-02-15,15,3,0
2020-02-16,15,3,0
2020-02-17,15,3,0
2020-02-18,15,3,0
2020-02-19,15,3,0
2020-02-20,15,3,0
2020-02-21,35,5,0
2020-02-22,35,5,0
2020-02-23,35,5,0
2020-02-24,53,5,0
2020-02-25,53,6,0
2020-02-26,59,6,0
2020-02-27,60,6,0
2020-02-28,62,7,0
2020-02-29,70,7,1
2020-03-01,76,7,1
2020-03-02,101,7,6
2020-03-03,121,8,7
2020-03-04,152,8,11
2020-03-05,220,8,12
2020-03-06,277,8,14
2020-03-07,416,8,17
2020-03-08,537,8,21
2020-03-09,605,8,22
